fixIdx,tickLead,togo,area
1303,3972.91834042907,170.294,101506.97104540374
1304,3977.91834042907,170.289,6774.056810724115
1305,3982.91834042907,170.278,14920.956054888118
1306,3987.91834042907,170.196,111338.16574120962
1309,4002.91834042907,170.122,100807.6221195604
1310,4007.91834042907,170.03,125423.73241871154
1311,4012.91834042907,170.003,36842.16587540097
1313,4022.91834042907,169.972,42398.44154637778
1314,4027.91834042907,169.868,142360.16795640555
1315,4032.91834042907,169.751,160249.7161813937
1316,4037.91834042907,169.647,142527.98652613274
1317,4042.91834042907,169.606,56234.45920556455
1319,4052.91834042907,169.597,12372.85853843799
1320,4057.91834042907,169.487,151357.27008008436
1321,4062.91834042907,169.394,128046.66220141905
1322,4067.91834042907,169.371,31695.572201690116
1324,4077.91834042907,169.298,100817.71042974878
1325,4082.91834042907,169.183,158928.88252049137
1326,4087.91834042907,169.071,154868.52979622417
1327,4092.91834042907,168.955,160487.4865332376
1328,4097.91834042907,168.841,157805.68830449387
1329,4102.91834042907,168.729,155122.48014800056
1330,4107.91834042907,168.62,151052.43372058158
1331,4112.91834042907,168.504,160841.36398148115
1332,4117.91834042907,168.386,163699.69014543667
1333,4122.91834042907,168.237,206792.5019360292
1334,4127.91834042907,168.113,172164.74139160474
1335,4132.91834042907,167.989,172246.18288679988
1336,4137.91834042907,167.862,176494.9495940466
1337,4142.91834042907,167.729,184913.37246810403
1338,4147.91834042907,167.585,200283.13301798678
1339,4152.91834042907,167.438,204524.50469136605
1340,4157.91834042907,167.292,203199.88088938742
1341,4162.91834042907,167.15,197700.17245658292
1342,4167.91834042907,167.021,179670.869726425
1343,4172.91834042907,166.889,183926.0495229199
1344,4177.91834042907,166.758,182607.4395893174
1345,4182.91834042907,166.625,185470.34405661983
1346,4187.91834042907,166.491,186938.38918929023
1347,4192.91834042907,166.369,170269.88545303655
1348,4197.91834042907,166.242,177326.7747753269
1349,4202.91834042907,166.118,173213.36051349403
1350,4207.91834042907,165.997,169099.04875539697
1351,4212.91834042907,165.867,181755.07117669325
1352,4217.91834042907,165.737,181828.217136747
1353,4222.91834042907,165.602,188894.36789991
1354,4227.91834042907,165.47,184766.39026594136
1355,4232.91834042907,165.34,182037.9231056479
1356,4237.91834042907,165.213,177908.79089036238
1357,4242.91834042907,165.091,170977.2537410641
1358,4247.91834042907,164.98,155634.72665438356
1359,4252.91834042907,164.865,161322.44274983794
1360,4257.91834042907,164.749,162802.46152003322
1361,4262.91834042907,164.635,160071.62878940938
1362,4267.91834042907,164.511,174191.26300977275
1363,4272.91834042907,164.395,163025.06364253053
1364,4277.91834042907,164.283,157478.45616113374
1365,4282.91834042907,164.156,178648.03193512073
1366,4287.91834042907,164.024,185751.59340699264
1367,4292.91834042907,163.898,177375.53837180958
1368,4297.91834042907,163.77,180261.15926675935
1369,4302.91834042907,163.639,184554.65901072224
1370,4307.91834042907,163.5,195891.04561779206
1371,4312.91834042907,163.36,197360.8684253512
1372,4318.91834042907,163.236,174907.14033456915
1373,4323.91834042907,163.124,158049.2468332249
1374,4328.91834042907,163.026,138363.91823961074
1375,4333.91834042907,162.904,172331.58857293762
1376,4338.91834042907,162.772,186526.76716576732
1377,4343.91834042907,162.642,183764.33956820366
1378,4348.91834042907,162.511,185242.36371406517
1379,4353.91834042907,162.387,175407.840760115
1380,4358.91834042907,162.27,165572.9421428818
1381,4363.91834042907,162.143,179795.40375286274
1382,4368.91834042907,162.011,186938.71095550177
1383,4373.91834042907,161.874,194080.57621151273
1384,4378.91834042907,161.737,194138.0615998497
1385,4383.91834042907,161.599,195612.04963190178
1386,4388.91834042907,161.476,174407.82451858342
1387,4393.91834042907,161.35,178727.3563530935
1388,4398.91834042907,161.214,192974.84659644795
1389,4403.91834042907,161.082,187356.21503900152
1390,4408.91834042907,160.935,208702.75861279006
1391,4413.91834042907,160.799,193134.63405418032
1392,4418.91834042907,160.684,163369.81935617115
1393,4423.91834042907,160.572,159175.55476175528
1394,4428.91834042907,160.476,136501.9560343801
1395,4433.91834042907,160.373,146529.68135766994
1396,4438.91834042907,160.265,153714.87707456338
1397,4443.91834042907,160.155,156631.23461041003
1398,4448.91834042907,160.051,148155.3159960239
1399,4453.91834042907,159.944,152499.78112997825
1400,4458.91834042907,159.836,153994.27394542538
1401,4463.91834042907,159.736,142654.3311887923
1402,4468.91834042907,159.637,141297.93385663253
1403,4473.91834042907,159.63,9998.62140756352
1404,4478.91834042907,159.625,7149.585373861911
