fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo
780,,,,2218.0,3187.107668183208,-4721.66759380786,20,2,133.288
781,,,,2215.0,3189.107668183208,-4719.66759380786,21,2,133.27
782,,,,2210.0,3191.107668183208,-4717.66759380786,22,2,133.248
783,,,,2206.0,3193.107668183208,-4715.66759380786,23,2,133.226
784,,,,2203.0,3195.107668183208,-4713.66759380786,24,2,133.206
785,,,,2204.0,3197.107668183208,-4711.66759380786,25,2,133.192
786,,,,2205.0,3199.107668183208,-4709.66759380786,26,2,133.172
787,,,,2207.0,3201.107668183208,-4707.66759380786,27,2,133.156
788,,,,2199.0,3203.107668183208,-4705.66759380786,28,2,133.134
789,,,,2192.0,3205.107668183208,-4703.66759380786,29,2,133.11
790,,,,2189.0,3207.107668183208,-4701.66759380786,30,2,133.092
791,,,,2177.0,3209.107668183208,-4699.66759380786,31,2,133.07
792,,,,2167.0,3211.107668183208,-4697.66759380786,32,2,133.045
793,,,,2160.0,3213.107668183208,-4695.66759380786,33,2,133.016
794,,,,2152.0,3215.107668183208,-4693.66759380786,34,2,132.987
795,,,,2147.0,3217.107668183208,-4691.66759380786,35,2,132.952
796,,,,2143.0,3219.107668183208,-4689.66759380786,36,2,132.915
797,,,,2137.0,3221.107668183208,-4687.66759380786,37,2,132.881
798,,,,2130.0,3223.107668183208,-4685.66759380786,38,2,132.85
799,,,,2124.0,3225.107668183208,-4683.66759380786,39,2,132.825
800,,,,2117.0,3227.107668183208,-4681.66759380786,40,2,132.794
801,,,,2112.0,3229.107668183208,-4679.66759380786,41,2,132.761
802,,,,2102.0,3231.107668183208,-4677.66759380786,42,2,132.736
803,,,,2093.0,3233.107668183208,-4675.66759380786,43,2,132.701
804,,,,2084.0,3235.107668183208,-4673.66759380786,44,2,132.669
805,,,,2074.0,3237.107668183208,-4671.66759380786,45,2,132.638
806,,,,2065.0,3239.107668183208,-4669.66759380786,46,2,132.611
807,,,,2057.0,3241.107668183208,-4667.66759380786,47,2,132.586
808,,,,2044.0,3243.107668183208,-4665.66759380786,48,2,132.559
809,,,,2031.0,3245.107668183208,-4663.66759380786,49,2,132.528
810,,,,2024.0,3247.107668183208,-4661.66759380786,50,2,132.496
811,,,,2016.0,3249.107668183208,-4659.66759380786,51,2,132.465
812,,,,2009.0,3251.107668183208,-4657.66759380786,52,2,132.434
813,,,,2003.0,3253.107668183208,-4655.66759380786,53,2,132.409
814,,,,1996.0,3255.107668183208,-4653.66759380786,54,2,132.382
815,,,,1990.0,3257.107668183208,-4651.66759380786,55,2,132.357
816,,,,1984.0,3259.107668183208,-4649.66759380786,56,2,132.327
817,,,,1978.0,3261.107668183208,-4647.66759380786,57,2,132.296
818,,,,1969.0,3263.107668183208,-4645.66759380786,58,2,132.258
819,,,,1965.0,3265.107668183208,-4643.66759380786,59,2,132.219
820,,,,1961.0,3267.107668183208,-4641.66759380786,60,2,132.185
821,,,,1954.0,3269.107668183208,-4639.66759380786,61,2,132.157
822,,,,1947.0,3271.107668183208,-4637.66759380786,62,2,132.142
823,,,,1940.0,3273.107668183208,-4635.66759380786,63,2,132.109
824,,,,1934.0,3275.107668183208,-4633.66759380786,64,2,132.079
825,,,,1928.0,3277.107668183208,-4631.66759380786,65,2,132.048
826,,,,1922.0,3279.107668183208,-4629.66759380786,66,2,132.019
827,,,,1916.0,3281.107668183208,-4627.66759380786,67,2,131.992
828,,,,1911.0,3283.107668183208,-4625.66759380786,68,2,131.95
829,,,,1907.0,3285.107668183208,-4623.66759380786,69,2,131.917
830,,,,1901.0,3287.107668183208,-4621.66759380786,70,2,131.896
831,,,,1894.0,3289.107668183208,-4619.66759380786,71,2,131.869
832,,,,1888.0,3291.107668183208,-4617.66759380786,72,2,131.836
833,,,,1882.0,3293.107668183208,-4615.66759380786,73,2,131.802
834,,,,1882.0,3295.107668183208,-4613.66759380786,74,2,131.766
835,,,,1874.0,3297.107668183208,-4611.66759380786,75,2,131.731
836,,,,1867.0,3299.107668183208,-4609.66759380786,76,2,131.694
837,,,,1861.0,3301.107668183208,-4607.66759380786,77,2,131.659
838,,,,1853.0,3303.107668183208,-4605.66759380786,78,2,131.624
839,,,,1844.0,3305.107668183208,-4603.66759380786,79,2,131.59
840,,,,1838.0,3307.107668183208,-4601.66759380786,80,2,131.558
841,,,,1831.0,3309.107668183208,-4599.66759380786,81,2,131.519
842,,,,1827.0,3311.107668183208,-4597.66759380786,82,2,131.479
843,,,,1820.0,3313.107668183208,-4595.66759380786,83,2,131.439
844,,,,1814.0,3315.107668183208,-4593.66759380786,84,2,131.406
845,,,,1808.0,3317.107668183208,-4591.66759380786,85,2,131.374
846,,,,1803.0,3319.107668183208,-4589.66759380786,86,2,131.33
847,,,,1793.0,3321.107668183208,-4587.66759380786,87,2,131.282
848,,,,1789.0,3323.107668183208,-4585.66759380786,88,2,131.244
849,,,,1786.0,3325.107668183208,-4583.66759380786,89,2,131.201
850,,,,1777.0,3327.107668183208,-4581.66759380786,90,2,131.159
851,,,,1769.0,3329.107668183208,-4579.66759380786,91,2,131.117
852,,,,1763.0,3331.107668183208,-4577.66759380786,92,2,131.078
853,,,,1759.0,3333.107668183208,-4575.66759380786,93,2,131.032
854,,,,1754.0,3335.107668183208,-4573.66759380786,94,2,130.994
855,,,,1742.0,3337.107668183208,-4571.66759380786,95,2,130.95
856,,,,1737.0,3339.107668183208,-4569.66759380786,96,2,130.902
857,,,,1732.0,3341.107668183208,-4567.66759380786,97,2,130.862
858,,,,1727.0,3343.107668183208,-4565.66759380786,98,2,130.829
859,,,,1715.0,3345.107668183208,-4563.66759380786,99,2,130.794
860,,,,1708.0,3347.107668183208,-4561.66759380786,100,2,130.766
861,,,,1701.0,3349.107668183208,-4559.66759380786,101,2,130.737
862,,,,1696.0,3351.107668183208,-4557.66759380786,102,2,130.712
863,,,,1687.0,3353.107668183208,-4555.66759380786,103,2,130.683
864,,,,1678.0,3355.107668183208,-4553.66759380786,104,2,130.646
865,,,,1670.0,3357.107668183208,-4551.66759380786,105,2,130.612
866,,,,1665.0,3359.107668183208,-4549.66759380786,106,2,130.589
867,,,,1658.0,3361.107668183208,-4547.66759380786,107,2,130.566
868,,,,1653.0,3363.107668183208,-4545.66759380786,108,2,130.544
869,,,,1644.0,3365.107668183208,-4543.66759380786,109,2,130.523
870,,,,1641.0,3367.107668183208,-4541.66759380786,110,2,130.49
871,,,,1631.0,3369.107668183208,-4539.66759380786,111,2,130.465
872,,,,1620.0,3371.107668183208,-4537.66759380786,112,2,130.432
873,,,,1609.0,3373.107668183208,-4535.66759380786,113,2,130.407
874,,,,1605.0,3375.107668183208,-4533.66759380786,114,2,130.384
875,,,,1608.0,3377.107668183208,-4531.66759380786,115,2,130.372
876,,,,1609.0,3379.107668183208,-4529.66759380786,116,2,130.356
877,,,,1603.0,3381.107668183208,-4527.66759380786,117,2,130.348
878,,,,1589.0,3383.107668183208,-4525.66759380786,118,2,130.332
879,,,,1577.0,3385.107668183208,-4523.66759380786,119,2,130.314
880,,,,1569.0,3387.107668183208,-4521.66759380786,120,2,130.299
882,,,,1560.0,3391.107668183208,-4517.66759380786,122,2,130.25
883,,,,1552.0,3393.107668183208,-4515.66759380786,123,2,130.205
884,,,,1542.0,3395.107668183208,-4513.66759380786,124,2,130.148
885,,,,1531.0,3397.107668183208,-4511.66759380786,125,2,130.111
886,,,,1522.0,3399.107668183208,-4509.66759380786,126,2,130.072
887,,,,1515.0,3401.107668183208,-4507.66759380786,127,2,130.034
888,,,,1509.0,3403.107668183208,-4505.66759380786,128,2,129.993
